receive_timestamp,source_vehicle,message_id,event_type,send_timestamp,latency_us
347329387368,20,1,receive,347329387217,151
347329387648,22,1,receive,347329387221,427
347329387899,16,1,receive,347329387225,674
347329388153,14,1,receive,347329387231,922
347329388403,30,1,receive,347329387273,1130
347329389423,28,1,receive,347329389370,53
347334383635,26,2,receive,347334383393,242
347334384393,24,2,receive,347334384286,107
347335387513,14,2,receive,347335387362,151
347335389750,28,2,receive,347335389569,181
347336382921,6,2,receive,347336382362,559
347336384469,12,2,receive,347336384309,160
347337383872,4,2,receive,347337383375,497
347337387642,20,2,receive,347337387432,210
347338383488,2,2,receive,347338383270,218
347338387476,16,2,receive,347338387359,117
347339382466,8,2,receive,347339382341,125
347339382882,10,2,receive,347339382734,148
347339388073,22,2,receive,347339387357,716
347339388322,30,2,receive,347339387413,909
347340384562,24,3,receive,347340384424,138
347341383832,26,3,receive,347341383675,157
347341387628,14,3,receive,347341387511,117
347341389820,28,3,receive,347341389719,101
347344382625,6,3,receive,347344382536,89
347344383010,10,3,receive,347344382896,114
347344383489,2,3,receive,347344383451,38
347344387507,22,3,receive,347344387462,45
347345384912,12,3,receive,347345384460,452
347345387527,16,3,receive,347345387476,51
347345387920,30,3,receive,347345387532,388
347346387842,20,3,receive,347346387673,169
347347383818,4,3,receive,347347383627,191
347347384215,26,4,receive,347347384146,69
347347390310,28,4,receive,347347389882,428
347349382681,8,3,receive,347349382484,197
347350383698,2,4,receive,347350383577,121
347350385146,24,4,receive,347350384736,410
347351382964,6,4,receive,347351382737,227
347351387764,14,4,receive,347351387615,149
347351388031,22,4,receive,347351387635,396
347352388011,20,4,receive,347352387829,182
347353384448,26,5,receive,347353384341,107
347354383171,10,4,receive,347354383009,162
347354388031,16,4,receive,347354387589,442
347354388297,30,4,receive,347354387998,299
347355382873,8,4,receive,347355382694,179
347355384878,12,4,receive,347355384700,178
347355385257,24,5,receive,347355385145,112
347355390442,28,5,receive,347355390007,435
347357383132,6,5,receive,347357382977,155
347357383813,2,5,receive,347357383728,85
347357384061,4,4,receive,347357383800,261
347358384663,26,6,receive,347358384570,93
347359388593,16,5,receive,347359387720,873
347359388783,14,5,receive,347359387781,1002
347360386286,24,6,receive,347360385720,566
347360387894,22,5,receive,347360387750,144
347360388358,30,5,receive,347360388205,153
347360390353,28,6,receive,347360390148,205
347361388186,20,5,receive,347361387996,190
347362383308,6,6,receive,347362383148,160
347362384138,10,5,receive,347362383181,957
347362384434,2,6,receive,347362384080,354
347363385178,12,5,receive,347363384993,185
347365383403,8,5,receive,347365382850,553
347365390470,28,7,receive,347365390309,161
347366384258,4,5,receive,347366384023,235
347366388120,22,6,receive,347366387912,208
347366388420,30,6,receive,347366388353,67
347366389021,20,6,receive,347366388411,610
347368384918,2,7,receive,347368384667,251
347368385247,26,7,receive,347368384792,455
347368388113,14,6,receive,347368387914,199
347369383525,6,7,receive,347369383313,212
347369388083,16,6,receive,347369387923,160
347370385496,12,6,receive,347370385305,191
347370386088,24,7,receive,347370385970,118
347372383654,10,6,receive,347372383471,183
347373383263,8,6,receive,347373383026,237
347374384291,4,6,receive,347374384191,100
347374388715,30,7,receive,347374388514,201
347374390546,28,8,receive,347374390461,85
347375383670,6,8,receive,347375383472,198
347375385786,12,7,receive,347375385512,274
347375388233,22,7,receive,347375388017,216
347376388721,20,7,receive,347376388542,179
347377383846,10,7,receive,347377383729,117
347378385091,2,8,receive,347378384821,270
347378385489,26,8,receive,347378384967,522
347378388247,14,7,receive,347378388063,184
347378388626,16,7,receive,347378388095,531
