receive_timestamp,source_vehicle,message_id,event_type,send_timestamp,latency_ms
281413156,2,2,receive,281413155,1
281419156,2,3,receive,281419156,0
281425156,2,4,receive,281425156,0
281433156,2,5,receive,281433156,0
281440157,2,6,receive,281440156,1
281448157,2,7,receive,281448157,0
281456157,2,8,receive,281456157,0
281464158,2,9,receive,281464157,1
281472158,2,10,receive,281472158,0
281482158,2,11,receive,281482158,0
281489158,2,12,receive,281489158,0
281499159,2,13,receive,281499158,1
281505159,2,14,receive,281505159,0
281515159,2,15,receive,281515159,0
281523159,2,16,receive,281523159,0
281530160,2,17,receive,281530159,1
