receive_timestamp,source_vehicle,message_id,event_type,send_timestamp,latency_us
263175072065,58,1,receive,263175057275,14790
263175072540,16,1,receive,263175057612,14928
263175072968,82,1,receive,263175057653,15315
263175073393,48,1,receive,263175058339,15054
263175073686,32,1,receive,263175058610,15076
263175073984,94,1,receive,263175058884,15100
263175074294,64,1,receive,263175059143,15151
263175074617,86,1,receive,263175059382,15235
263175074916,90,1,receive,263175059780,15136
263175075222,98,1,receive,263175059969,15253
263175075528,30,1,receive,263175060456,15072
263175075834,62,1,receive,263175061695,14139
263175096162,100,1,receive,263175062184,33978
263175096644,78,1,receive,263175063139,33505
263175097128,40,1,receive,263175067835,29293
263175097610,96,1,receive,263175070602,27008
263175098102,68,1,receive,263175072387,25715
263175098585,44,1,receive,263175072851,25734
263175099080,74,1,receive,263175074204,24876
263175099571,88,1,receive,263175083777,15794
263175156692,22,2,receive,263175154571,2121
263175166058,14,2,receive,263175164365,1693
263175167303,98,2,receive,263175166048,1255
263175170430,90,2,receive,263175168631,1799
263175173919,82,2,receive,263175170026,3893
263175174288,4,2,receive,263175172017,2271
263175178898,38,2,receive,263175177925,973
263175181530,12,2,receive,263175179539,1991
263175184938,60,2,receive,263175183337,1601
263175190507,84,2,receive,263175188848,1659
263175192814,28,2,receive,263175191536,1278
263175199061,80,2,receive,263175192562,6499
263175199591,58,2,receive,263175192770,6821
263175200130,16,2,receive,263175194622,5508
263175206492,96,2,receive,263175195103,11389
263175207013,54,2,receive,263175196688,10325
263175207551,70,2,receive,263175197127,10424
263175211124,88,2,receive,263175198781,12343
263175211805,100,2,receive,263175200326,11479
263175212500,42,2,receive,263175201560,10940
263175213040,6,2,receive,263175201636,11404
263175213579,56,2,receive,263175204288,9291
263175214124,72,2,receive,263175205381,8743
263175214669,64,2,receive,263175211008,3661
263175228475,32,2,receive,263175211937,16538
263175229021,86,2,receive,263175214664,14357
263175229557,26,2,receive,263175216941,12616
263175230122,92,2,receive,263175217004,13118
263175230681,8,2,receive,263175217571,13110
263175231244,30,2,receive,263175217596,13648
263175231807,44,2,receive,263175224575,7232
263175242524,76,2,receive,263175236710,5814
263175242988,50,2,receive,263175239540,3448
263175251881,10,2,receive,263175243124,8757
263175252460,36,2,receive,263175244138,8322
263175253005,24,2,receive,263175245707,7298
263175255543,40,2,receive,263175248344,7199
263175256109,20,2,receive,263175249205,6904
263175256720,78,2,receive,263175249656,7064
263175263680,48,2,receive,263175253247,10433
263175264261,68,2,receive,263175253255,11006
263175267225,34,2,receive,263175256535,10690
263175267800,18,2,receive,263175262593,5207
263175274905,66,2,receive,263175263023,11882
263175275444,94,2,receive,263175264263,11181
263175276028,2,2,receive,263175266108,9920
263175276609,62,2,receive,263175267094,9515
263175277167,52,2,receive,263175273578,3589
263175277681,46,2,receive,263175274391,3290
263175289280,74,2,receive,263175282470,6810
263175289793,90,3,receive,263175283566,6227
263175298094,12,3,receive,263175295528,2566
263175302725,22,3,receive,263175300182,2543
263175320687,100,3,receive,263175317261,3426
263175321287,42,3,receive,263175317279,4008
263175327788,26,3,receive,263175326504,1284
263175332375,58,3,receive,263175329943,2432
263175335680,96,3,receive,263175332388,3292
263175339317,86,3,receive,263175333518,5799
263175339914,28,3,receive,263175332477,7437
263175340513,70,3,receive,263175335634,4879
263175348278,72,3,receive,263175343887,4391
263175348848,6,3,receive,263175344283,4565
263175349702,32,3,receive,263175349364,338
263175365285,98,3,receive,263175350666,14619
263175365880,56,3,receive,263175352974,12906
263175366482,54,3,receive,263175353890,12592
263175369333,82,3,receive,263175353967,15366
263175369956,76,3,receive,263175355820,14136
263175370575,16,3,receive,263175359393,11182
263175372744,14,3,receive,263175362698,10046
263175373365,78,3,receive,263175367967,5398
263175384163,24,3,receive,263175374828,9335
263175385552,4,3,receive,263175375315,10237
263175386169,18,3,receive,263175377422,8747
263175386782,88,3,receive,263175379862,6920
263175387316,40,3,receive,263175384012,3304
263175387943,60,3,receive,263175386707,1236
263175395181,48,3,receive,263175388134,7047
263175398537,84,3,receive,263175389473,9064
263175399161,94,3,receive,263175391119,8042
263175399774,68,3,receive,263175393575,6199
263175400393,38,3,receive,263175395192,5201
263175415425,30,3,receive,263175395692,19733
263175415864,46,3,receive,263175402447,13417
263175416307,74,3,receive,263175405778,10529
263175417144,80,3,receive,263175409214,7930
263175417575,8,3,receive,263175412065,5510
263175418668,66,3,receive,263175416425,2243
263175422838,50,3,receive,263175420467,2371
263175423260,64,3,receive,263175422287,973
263175439800,92,3,receive,263175428446,11354
263175440235,100,4,receive,263175428600,11635
263175440660,34,3,receive,263175430122,10538
263175441092,52,3,receive,263175433716,7376
263175441525,10,3,receive,263175433778,7747
263175441957,44,3,receive,263175434347,7610
263175442401,36,3,receive,263175434515,7886
263175448617,20,3,receive,263175439497,9120
263175451463,12,4,receive,263175450129,1334
263175454976,2,3,receive,263175452696,2280
263175456488,26,4,receive,263175453876,2612
263175460751,98,4,receive,263175459214,1537
263175471730,62,3,receive,263175468978,2752
263175476034,90,4,receive,263175474904,1130
263175480810,28,4,receive,263175477800,3010
263175483308,96,4,receive,263175480327,2981
263175490878,16,4,receive,263175489029,1849
263175499421,82,4,receive,263175496861,2560
263175510058,6,4,receive,263175504008,6050
263175510459,88,4,receive,263175504027,6432
263175514458,76,4,receive,263175510477,3981
263175516302,32,4,receive,263175512989,3313
263175516910,72,4,receive,263175514470,2440
263175517520,22,4,receive,263175514591,2929
263175528506,86,4,receive,263175515173,13333
263175529041,70,4,receive,263175515271,13770
263175529618,54,4,receive,263175517810,11808
263175546893,74,4,receive,263175518568,28325
263175550250,46,4,receive,263175525682,24568
263175550858,42,4,receive,263175527631,23227
263175551313,68,4,receive,263175533028,18285
263175551717,34,4,receive,263175538969,12748
263175552122,24,4,receive,263175542064,10058
263175557775,4,4,receive,263175545881,11894
263175571571,18,4,receive,263175546319,25252
263175572182,58,4,receive,263175544208,27974
263175572769,92,4,receive,263175548347,24422
263175573278,78,4,receive,263175552124,21154
263175573790,48,4,receive,263175551248,22542
263175574341,38,4,receive,263175561271,13070
